"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"VNWK4HPR","journalArticle","2018","Zhu, Z.; Li, D.; Liang, J.; Liu, G.; Yu, H.","A Dynamic Personalized News Recommendation System Based on BAP User Profiling Method","IEEE Access","","2169-3536","10.1109/ACCESS.2018.2858564","","","2018","2019-02-27 21:12:35","2019-02-27 21:12:35","","41068-41078","","","6","","","","","","","","","","","","","","","","","","","","","Analytical models; Collaboration; Education; history; internet; Market research; News recommendation; personalization; Solid modeling; user behavior; user profiling method","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HVW86ESX","conferencePaper","2018","d'Aquin, Mathieu; Kowald, Dominik; Fessl, Angela; Lex, Elisabeth; Thalmann, Stefan","AFEL - Analytics for Everyday Learning","Companion Proceedings of the The Web Conference 2018","978-1-4503-5640-4","","10.1145/3184558.3186206","https://doi.org/10.1145/3184558.3186206","","2018","2019-02-27 20:48:54","2019-02-27 20:48:54","","439–440","","","","","","","WWW '18","","","","International World Wide Web Conferences Steering Committee","Republic and Canton of Geneva, Switzerland","","","","","","","","event-place: Lyon, France","","","","afel; everyday learning; h2020; learning analytics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NZIU9KT5","conferencePaper","2018","d'Aquin, Mathieu; Kowald, Dominik; Fessl, Angela; Lex, Elisabeth; Thalmann, Stefan","AFEL - Analytics for Everyday Learning","Companion Proceedings of the The Web Conference 2018","978-1-4503-5640-4","","10.1145/3184558.3186206","https://doi.org/10.1145/3184558.3186206","","2018","2019-02-27 20:53:06","2019-02-27 20:53:06","","439–440","","","","","","","WWW '18","","","","International World Wide Web Conferences Steering Committee","Republic and Canton of Geneva, Switzerland","","","","","","","","event-place: Lyon, France","","","","afel; everyday learning; h2020; learning analytics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"D5IV2M8U","conferencePaper","2019","McGill, Monica M.; Decker, Adrienne; McKlin, Tom; Haynie, Kathy","A Gap Analysis of Noncognitive Constructs in Evaluation Instruments Designed for Computing Education","Proceedings of the 50th ACM Technical Symposium on Computer Science Education","978-1-4503-5890-3","","10.1145/3287324.3287362","http://doi.acm.org/10.1145/3287324.3287362","","2019","2019-02-27 20:48:06","2019-02-27 20:48:06","","706–712","","","","","","","SIGCSE '19","","","","ACM","New York, NY, USA","","","","","","","","event-place: Minneapolis, MN, USA","","","","Assessment; constructs; Education; evaluation; noncognitive","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PGPR5AJA","conferencePaper","2018","Feild, Jacqueline; Lewkow, Nicholas; Burns, Sean; Gebhardt, Karen","A Generalized Classifier to Identify Online Learning Tool Disengagement at Scale","Proceedings of the 8th International Conference on Learning Analytics and Knowledge","978-1-4503-6400-3","","10.1145/3170358.3170370","http://doi.acm.org/10.1145/3170358.3170370","","2018","2019-02-27 20:49:03","2019-02-27 20:49:03","","61–70","","","","","","","LAK '18","","","","ACM","New York, NY, USA","","","","","","","","event-place: Sydney, New South Wales, Australia","","","","Apache Spark; economic education; Higher Education; learning tool disengagement; Logistic Regression; student success","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7HD85UV9","conferencePaper","2018","Feild, Jacqueline; Lewkow, Nicholas; Burns, Sean; Gebhardt, Karen","A Generalized Classifier to Identify Online Learning Tool Disengagement at Scale","Proceedings of the 8th International Conference on Learning Analytics and Knowledge","978-1-4503-6400-3","","10.1145/3170358.3170370","http://doi.acm.org/10.1145/3170358.3170370","","2018","2019-02-27 20:52:57","2019-02-27 20:52:57","","61–70","","","","","","","LAK '18","","","","ACM","New York, NY, USA","","","","","","","","event-place: Sydney, New South Wales, Australia","","","","Apache Spark; economic education; Higher Education; learning tool disengagement; Logistic Regression; student success","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MZU8SAW9","journalArticle","2018","Haussig, J. M.; Nielsen, S.; Gassowski, M.; Bremer, V.; Marcus, U.; Wenz, B.; Bannert, N.; Bock, C. T.; Zimmermann, R.","A large proportion of people who inject drugs are susceptible to hepatitis B: Results from a bio-behavioural study in eight German cities","International Journal of Infectious Diseases","","1201-9712","https://doi.org/10.1016/j.ijid.2017.10.008","http://www.sciencedirect.com/science/article/pii/S1201971217302643","Background People who inject drugs (PWID) are at high risk of hepatitis B virus (HBV) infection by sharing needles and drug use paraphernalia. In Germany, no routine surveillance of HBV prevalence and vaccination coverage among PWID exists. Methods Socio-demographic and behavioural data were collected between 2011 and 2014 through face-to-face interviews, during a bio-behavioural survey of PWID recruited in eight German cities. Dried blood spots (DBS) prepared with capillary blood were tested for HBV markers. Factors associated with past/current HBV infection and vaccination status were analysed by univariable and multivariable analysis using logistic regression. The validity of self-reported HBV infection and vaccination status was analysed by comparison to the laboratory results. Results Among 2077 participants, the prevalence of current HBV infection was 1.1%, of past HBV infection was 24%, and of vaccine-induced HBV antibodies was 32%. No detectable HBV antibodies were found in 43%. HBV infection status was significantly associated with study city, age, years of injecting, use of stimulants, migration status, and homelessness; HBV vaccination status was significantly associated with study city, age, and level of education. Correct infection status was reported by 71% and correct vaccination status by 45%. Conclusions HBV seroprevalence among PWID was about five times higher than in the general population in Germany, confirming PWID as an important risk group. Targeted information campaigns on HBV and HBV prevention for PWID and professionals in contact with PWID need to be intensified. Routinely offered HBV vaccination during imprisonment and opioid substitution therapy would likely improve vaccination rates among PWID.","2018","2019-02-27 20:57:44","2019-02-27 20:57:44","","5 - 13","","","66","","","","","","","","","","","","","","","","","","","","","HBV; Hepatitis B; Hepatitis B vaccination; People who inject drugs; PWID; Sero- and behavioural survey","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"I7GUDB8P","journalArticle","2018","Chen, L.; Jiang, D.; Song, H.; Wang, P.; Bao, R.; Zhang, K.; Li, Y.","A Lightweight End-Side User Experience Data Collection System for Quality Evaluation of Multimedia Communications","IEEE Access","","2169-3536","10.1109/ACCESS.2018.2794354","","","2018","2019-02-27 21:12:35","2019-02-27 21:12:35","","15408-15419","","","6","","","","","","","","","","","","","","","","","","","","","commercial mobile networks; commercial network experiments; common user equipment; communication networks; complex scenarios; emergency services; end-to-end evaluation; key quality indicators; lightweight end-side; lightweight evaluation system; Mobile communication; mobile communications; mobile computing; multimedia communication; multimedia communications; multimedia service; multimedia services; quality evaluation; quality of experience; quality of service; streaming media; telecommunication traffic; traditional emerging services; traffic models; typical user behavior; typical user behaviors; user experience evaluation system; Wireless communication","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9MJH9ACC","journalArticle","2018","Salmeron-Majadas, S.; Baker, R. S.; Santos, O. C.; Boticario, J. G.","A Machine Learning Approach to Leverage Individual Keyboard and Mouse Interaction Behavior From Multiple Users in Real-World Learning Scenarios","IEEE Access","","2169-3536","10.1109/ACCESS.2018.2854966","","","2018","2019-02-27 21:11:59","2019-02-27 21:11:59","","39154-39179","","","6","","","","","","","","","","","","","","","","","","","","","2-D self-labeling approach; affective computing; affective model; between-subject patterns; Brain modeling; Computational modeling; computer aided instruction; data mining; data mining techniques; Data models; emotion recognition; general interaction patterns; human computer interaction; individual interaction patterns; individual keyboard interaction behavior; interaction baseline model; keyboard interaction patterns; keyboards; keystroke dynamics; keystrokes dynamics; learner modeling; learning analytics; learning (artificial intelligence); learning process; machine learning approach; Mice; MOKEETO; mouse controllers (computers); mouse interaction behavior; mouse interaction patterns; mouse movements; physiological sensors; real-world learning scenarios; Task analysis; within-subject patterns","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7EKJZ7FW","journalArticle","2018","Salmeron-Majadas, S.; Baker, R. S.; Santos, O. C.; Boticario, J. G.","A Machine Learning Approach to Leverage Individual Keyboard and Mouse Interaction Behavior From Multiple Users in Real-World Learning Scenarios","IEEE Access","","2169-3536","10.1109/ACCESS.2018.2854966","","","2018","2019-02-27 21:13:22","2019-02-27 21:13:22","","39154-39179","","","6","","","","","","","","","","","","","","","","","","","","","2-D self-labeling approach; affective computing; affective model; between-subject patterns; Brain modeling; Computational modeling; computer aided instruction; data mining; data mining techniques; Data models; emotion recognition; general interaction patterns; human computer interaction; individual interaction patterns; individual keyboard interaction behavior; interaction baseline model; keyboard interaction patterns; keyboards; keystroke dynamics; keystrokes dynamics; learner modeling; learning analytics; learning (artificial intelligence); learning process; machine learning approach; Mice; MOKEETO; mouse controllers (computers); mouse interaction behavior; mouse interaction patterns; mouse movements; physiological sensors; real-world learning scenarios; Task analysis; within-subject patterns","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZDCEWHFM","conferencePaper","2018","Dryer, Amber; Walia, Nicole; Chattopadhyay, Ankur","A Middle-School Module for Introducing Data-Mining, Big-Data, Ethics and Privacy Using RapidMiner and a Hollywood Theme","Proceedings of the 49th ACM Technical Symposium on Computer Science Education","978-1-4503-5103-4","","10.1145/3159450.3159553","http://doi.acm.org/10.1145/3159450.3159553","","2018","2019-02-27 20:49:11","2019-02-27 20:49:11","","753–758","","","","","","","SIGCSE '18","","","","ACM","New York, NY, USA","","","","","","","","event-place: Baltimore, Maryland, USA","","","","BI; big-data; data-driven decision-making; data-driven intelligence; data-mining; ethics; Google-ignitecs; GUI; hollywood movie; K-12 learning module; middle-school; NSA-gencyber; privacy; rapidminer; security-first principles","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GWD8QFUN","conferencePaper","2018","Dryer, Amber; Walia, Nicole; Chattopadhyay, Ankur","A Middle-School Module for Introducing Data-Mining, Big-Data, Ethics and Privacy Using RapidMiner and a Hollywood Theme","Proceedings of the 49th ACM Technical Symposium on Computer Science Education","978-1-4503-5103-4","","10.1145/3159450.3159553","http://doi.acm.org/10.1145/3159450.3159553","","2018","2019-02-27 20:53:06","2019-02-27 20:53:06","","753–758","","","","","","","SIGCSE '18","","","","ACM","New York, NY, USA","","","","","","","","event-place: Baltimore, Maryland, USA","","","","BI; big-data; data-driven decision-making; data-driven intelligence; data-mining; ethics; Google-ignitecs; GUI; hollywood movie; K-12 learning module; middle-school; NSA-gencyber; privacy; rapidminer; security-first principles","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BPGKZR8J","conferencePaper","2018","Roy, Debopriyo","A Model for Language Learning with Crowdsourcing and Social Network Analysis for Community Decision-Making","Proceedings of the 2Nd International Conference on Education and Multimedia Technology","978-1-4503-6525-3","","10.1145/3206129.3239431","http://doi.acm.org/10.1145/3206129.3239431","","2018","2019-02-27 20:48:37","2019-02-27 20:48:37","","14–19","","","","","","","ICEMT 2018","","","","ACM","New York, NY, USA","","","","","","","","event-place: Okinawa, Japan","","","","crowdsourcing; design; language; Maps; poverty; social networks","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GDBNJM42","journalArticle","2019","Al-Rahmi, W. M.; Yahaya, N.; Alamri, M. M.; Aljarboa, N. A.; Kamin, Y. B.; Moafa, F. A.","A Model of Factors Affecting Cyber Bullying Behaviors Among University Students","IEEE Access","","2169-3536","10.1109/ACCESS.2018.2881292","","","2019","2019-02-27 21:12:21","2019-02-27 21:12:21","","2978-2985","","","7","","","","","","","","","","","","","","","","","","","","","Analytical models; cyber bullying; cyber harassment; cyberstalking; Hair; Indexes; Loading; Mathematical model; reliability; Social media used; Social network services","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GWMWQB49","journalArticle","2019","Salihu, I.; Ibrahim, R.; Ahmed, B. S.; Zamli, K. Z.; Usman, A.","AMOGA: A Static-Dynamic Model Generation Strategy for Mobile Apps Testing","IEEE Access","","2169-3536","10.1109/ACCESS.2019.2895504","","","2019","2019-02-27 21:12:35","2019-02-27 21:12:35","","17158-17173","","","7","","","","","","","","","","","","","","","","","","","","","android apps; automated testing; data mining; graphical user interfaces; GUI testing; mobile apps; model-based testing; reverse engineering; Software engineering; static analysis; testing; Tools; UI Model","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"G4DGTSD5","conferencePaper","2018","Kraemer, Eileen T.; Sitaraman, Murali; Hollingsworth, Joseph","An Activity-Based Undergraduate Software Engineering Course to Engage Students and Encourage Learning","Proceedings of the 3rd European Conference of Software Engineering Education","978-1-4503-6383-9","","10.1145/3209087.3209100","http://doi.acm.org/10.1145/3209087.3209100","","2018","2019-02-27 20:48:52","2019-02-27 20:48:52","","18–25","","","","","","","ECSEE'18","","","","ACM","New York, NY, USA","","","","","","","","event-place: Seeon/ Bavaria, Germany","","","","active learning; correctness; formal reasoning; software lifecycle; student engagement; Tools; UML","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XKNMJK9D","journalArticle","2019","Zhou, J.; Cai, N.; Tan, Z.; Khan, M. J.","Analysis of Effects to Journal Impact Factors Based on Citation Networks Generated via Social Computing","IEEE Access","","2169-3536","10.1109/ACCESS.2019.2895737","","","2019","2019-02-27 21:11:50","2019-02-27 21:11:50","","19775-19781","","","7","","","","","","","","","","","","","","","","","","","","","Analytical models; Bibliometrics; citation network; Computational modeling; Delays; Education; impact factor; information technology; Market research; simulation experiment; social computing","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SJTECCSK","journalArticle","2018","Kusuma, Gede Putra; Wigati, Evan Kristia; Utomo, Yesun; Suryapranata, Louis Khrisna Putera","Analysis of Gamification Models in Education Using MDA Framework","Procedia Computer Science","","1877-0509","https://doi.org/10.1016/j.procs.2018.08.187","http://www.sciencedirect.com/science/article/pii/S1877050918314765","Gamification nowadays is being one of techniques that can increase motivation and encourage the involvement of users, particularly in education domain that requires teaching and learning activities to be more fun and interesting. This paper surveys some analysis of gamification models. MDA framework is used to identify surveyed papers by breaking them down into three categories: mechanics, dynamics and aesthetics. Findings from the survey show there are many gamification models in education domain. However, there are some very representative gamification models could be used as a method to increase motivation, achievement and engagement in learning activities. By knowing the latest gamification models in education domain stated in this paper, it could help gamification practitioners to make new strategies in learning activities to increase students’ motivation, achievement and involvement. We also suggest some gamification strategies, which combine several mechanics in such a way to create dynamics that results in all types of aesthetics outputs.","2018","2019-02-27 20:56:56","2019-02-27 20:56:56","","385 - 392","","","135","","","","","","","","","","","","","","","","","","","","","Gamification in education; Gamification models; student achievement; student motivation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RK6G7H2Q","journalArticle","2018","Kusuma, Gede Putra; Wigati, Evan Kristia; Utomo, Yesun; Suryapranata, Louis Khrisna Putera","Analysis of Gamification Models in Education Using MDA Framework","Procedia Computer Science","","1877-0509","https://doi.org/10.1016/j.procs.2018.08.187","http://www.sciencedirect.com/science/article/pii/S1877050918314765","Gamification nowadays is being one of techniques that can increase motivation and encourage the involvement of users, particularly in education domain that requires teaching and learning activities to be more fun and interesting. This paper surveys some analysis of gamification models. MDA framework is used to identify surveyed papers by breaking them down into three categories: mechanics, dynamics and aesthetics. Findings from the survey show there are many gamification models in education domain. However, there are some very representative gamification models could be used as a method to increase motivation, achievement and engagement in learning activities. By knowing the latest gamification models in education domain stated in this paper, it could help gamification practitioners to make new strategies in learning activities to increase students’ motivation, achievement and involvement. We also suggest some gamification strategies, which combine several mechanics in such a way to create dynamics that results in all types of aesthetics outputs.","2018","2019-02-27 21:01:14","2019-02-27 21:01:14","","385 - 392","","","135","","","","","","","","","","","","","","","","","","","","","Gamification in education; Gamification models; student achievement; student motivation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
